Year,Average Global temperature,Average Abu Dhabi Temperature,,,Year,Moving Average Global temperature,Moving Average Abu Dhabi Temperature
1898,8.18,25.92,,,1898,8.226666667,26.19
1899,8.4,26.57,,,1899,8.29,26.26
1900,8.5,26.43,,,1900,8.36,26.30666667
1901,8.54,26.53,,,1901,8.48,26.51
1902,8.3,26.81,,,1902,8.446666667,26.59
1903,8.22,25.88,,,1903,8.353333333,26.40666667
1904,8.09,26.49,,,1904,8.203333333,26.39333333
1905,8.23,26.3,,,1905,8.18,26.22333333
1906,8.38,26.24,,,1906,8.233333333,26.34333333
1907,7.95,26.17,,,1907,8.186666667,26.23666667
1908,8.19,26.34,,,1908,8.173333333,26.25
1909,8.18,26.57,,,1909,8.106666667,26.36
1910,8.22,25.89,,,1910,8.196666667,26.26666667
1911,8.18,25.62,,,1911,8.193333333,26.02666667
1912,8.17,26.35,,,1912,8.19,25.95333333
1913,8.3,26.45,,,1913,8.216666667,26.14
1914,8.59,26.56,,,1914,8.353333333,26.45333333
1915,8.59,26.9,,,1915,8.493333333,26.63666667
1916,8.23,25.9,,,1916,8.47,26.45333333
1917,8.02,26.04,,,1917,8.28,26.28
1918,8.13,26.03,,,1918,8.126666667,25.99
1919,8.38,26.24,,,1919,8.176666667,26.10333333
1920,8.36,26.2,,,1920,8.29,26.15666667
1921,8.57,26.06,,,1921,8.436666667,26.16666667
1922,8.41,26.77,,,1922,8.446666667,26.34333333
1923,8.42,26.32,,,1923,8.466666667,26.38333333
1924,8.51,27.03,,,1924,8.446666667,26.70666667
1925,8.53,26.26,,,1925,8.486666667,26.53666667
1926,8.73,26.65,,,1926,8.59,26.64666667
1927,8.52,26.35,,,1927,8.593333333,26.42
1928,8.63,26.34,,,1928,8.626666667,26.44666667
1929,8.24,26.6,,,1929,8.463333333,26.43
1930,8.63,26.38,,,1930,8.5,26.44
1931,8.72,26.54,,,1931,8.53,26.50666667
1932,8.71,26.23,,,1932,8.686666667,26.38333333
1933,8.34,26.06,,,1933,8.59,26.27666667
1934,8.63,26.17,,,1934,8.56,26.15333333
1935,8.52,26.44,,,1935,8.496666667,26.22333333
1936,8.55,26.24,,,1936,8.566666667,26.28333333
1937,8.7,26.22,,,1937,8.59,26.3
1938,8.86,26.29,,,1938,8.703333333,26.25
1939,8.76,26.13,,,1939,8.773333333,26.21333333
1940,8.76,26.49,,,1940,8.793333333,26.30333333
1941,8.77,26.88,,,1941,8.763333333,26.5
1942,8.73,26.87,,,1942,8.753333333,26.74666667
1943,8.76,26.42,,,1943,8.753333333,26.72333333
1944,8.85,26.89,,,1944,8.78,26.72666667
1945,8.58,26.45,,,1945,8.73,26.58666667
1946,8.68,26.6,,,1946,8.703333333,26.64666667
1947,8.8,26.85,,,1947,8.686666667,26.63333333
1948,8.75,26.69,,,1948,8.743333333,26.71333333
1949,8.59,26.29,,,1949,8.713333333,26.61
1950,8.37,25.97,,,1950,8.57,26.31666667
1951,8.63,26.69,,,1951,8.53,26.31666667
1952,8.64,26.68,,,1952,8.546666667,26.44666667
1953,8.87,26.89,,,1953,8.713333333,26.75333333
1954,8.56,26.89,,,1954,8.69,26.82
1955,8.63,26.62,,,1955,8.686666667,26.8
1956,8.28,26.56,,,1956,8.49,26.69
1957,8.73,26.26,,,1957,8.546666667,26.48
1958,8.77,26.89,,,1958,8.593333333,26.57
1959,8.73,26.43,,,1959,8.743333333,26.52666667
1960,8.58,26.66,,,1960,8.693333333,26.66
1961,8.8,26.57,,,1961,8.703333333,26.55333333
1962,8.75,26.75,,,1962,8.71,26.66
1963,8.86,26.61,,,1963,8.803333333,26.64333333
1964,8.41,25.89,,,1964,8.673333333,26.41666667
1965,8.53,26.63,,,1965,8.6,26.37666667
1966,8.6,26.76,,,1966,8.513333333,26.42666667
1967,8.7,26.47,,,1967,8.61,26.62
1968,8.52,26.2,,,1968,8.606666667,26.47666667
1969,8.6,27.09,,,1969,8.606666667,26.58666667
1970,8.7,27.24,,,1970,8.606666667,26.84333333
1971,8.6,26.47,,,1971,8.633333333,26.93333333
1972,8.5,26.16,,,1972,8.6,26.62333333
1973,8.95,26.54,,,1973,8.683333333,26.39
1974,8.47,26.46,,,1974,8.64,26.38666667
1975,8.74,26.49,,,1975,8.72,26.49666667
1976,8.35,26.43,,,1976,8.52,26.46
1977,8.85,27.43,,,1977,8.646666667,26.78333333
1978,8.69,26.89,,,1978,8.63,26.91666667
1979,8.73,26.96,,,1979,8.756666667,27.09333333
1980,8.98,27.16,,,1980,8.8,27.00333333
1981,9.17,26.93,,,1981,8.96,27.01666667
1982,8.64,26.16,,,1982,8.93,26.75
1983,9.03,26.19,,,1983,8.946666667,26.42666667
1984,8.69,26.29,,,1984,8.786666667,26.21333333
1985,8.66,26.63,,,1985,8.793333333,26.37
1986,8.83,26.7,,,1986,8.726666667,26.54
1987,8.99,26.91,,,1987,8.826666667,26.74666667
1988,9.2,26.95,,,1988,9.006666667,26.85333333
1989,8.92,26.38,,,1989,9.036666667,26.74666667
1990,9.23,27.11,,,1990,9.116666667,26.81333333
1991,9.18,26.46,,,1991,9.11,26.65
1992,8.84,26.1,,,1992,9.083333333,26.55666667
1993,8.87,27.02,,,1993,8.963333333,26.52666667
1994,9.04,27.25,,,1994,8.916666667,26.79
1995,9.35,26.75,,,1995,9.086666667,27.00666667
1996,9.04,27.2,,,1996,9.143333333,27.06666667
1997,9.2,26.87,,,1997,9.196666667,26.94
1998,9.52,28.19,,,1998,9.253333333,27.42
1999,9.29,28.16,,,1999,9.336666667,27.74
2000,9.2,27.67,,,2000,9.336666667,28.00666667
2001,9.41,27.82,,,2001,9.3,27.88333333
2002,9.57,28,,,2002,9.393333333,27.83
2003,9.53,28.12,,,2003,9.503333333,27.98
2004,9.32,28.07,,,2004,9.473333333,28.06333333
2005,9.7,27.9,,,2005,9.516666667,28.03
2006,9.53,27.94,,,2006,9.516666667,27.97
2007,9.73,28.08,,,2007,9.653333333,27.97333333
2008,9.43,27.59,,,2008,9.563333333,27.87
2009,9.51,28.04,,,2009,9.556666667,27.90333333
2010,9.7,28.69,,,2010,9.546666667,28.10666667
2011,9.52,28.25,,,2011,9.576666667,28.32666667
2012,9.51,28.46,,,2012,9.576666667,28.46666667
2013,9.61,28.01,,,2013,9.546666667,28.24
